"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-01","5.14",,"0.00",,,"47","57","36","   60","   60","12.1","15.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-02","4.25",,"0.00",,,"48","56","38","  280","  270","12.1","15.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-03","5.14",,"0.00",,,"50","59","42","  270","  210","12.1","16.1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-04","4.70",,"0.00",,,"53","61","42","  270","  270","13.0","15.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-05","5.59",,"0.00",,,"61","79","50","   40","  340","12.1","16.1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-06","6.49",,"0.00",,,"68","83","55","   20","   20","14.1","18.1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-07","4.70",,"0.00",,,"65","79","53","  270","  230","14.1","17.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-08","2.91",,"0.00",,,"60","71","51","  250","  260","16.1","19.9"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-09","3.13",,"0.00",,,"61","71","56","  250","  240","15.0","17.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-10","4.25",,"0.69",,,"58","61","53","   80","   20","8.9","16.1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-11","4.92",,"0.39",,,"56","60","55","  280","  310","10.1","14.1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-12","4.70",,"0.00",,,"57","62","53","  260","  240","12.1","15.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-13","3.80",,"0.00",,,"58","63","55","  280","  290","13.0","17.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-14","4.03",,"0.00",,,"58","69","47","  260","  250","15.0","18.1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-15","5.14",,"0.00",,,"60","73","50","  270","  280","14.1","16.1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-16","5.14",,"0.00",,,"61","73","50","  280","  270","14.1","17.0"
