"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-01","14.54",,"0.00","0.0","0.0","20","32","14","  240","  250","23.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-02","4.70",,"0.00","0.0","0.0","26","34","15","  150","  150","12.1","13.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-03","5.59",,"0.57","0.4","0.0","31","34","29","  140","  140","13.0","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-04","15.88",,"0.13","2.2","1.2","29","33","2","  320","  320","25.9","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-05","10.29",,"0.15","1.8","2.0","2","6","-3","  310","  310","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-06","13.87",,"0.01","0.2","3.9","5","10","-5","  270","  280","23.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-07","17.45",,"0.00","0.0","3.1","3","6","-6","  330","  320","28.0","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-08","17.67",,"0.06","3.0","3.1","-2","18","-8","  300","  300","28.0","38.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-09","16.55",,"0.00","0.0","5.1","8","11","0","  330","  330","30.0","38.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-10","11.63",,"0.00","0.0","3.9","5","24","-2","  180","  190","21.9","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-11","8.28",,"0.19","2.6","3.9","26","32","22","  180","  180","18.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-12","12.75",,"0.00","0.4","5.9","23","28","15","   10","   10","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-13","7.61",,"0.00","0.2","5.9","17","19","3","   50","   50","19.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-14","6.49",,"0.00","0.0","5.9","11","19","1","  220","  220","14.1","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-15","10.07",,"0.00","0.0","5.1","22","34","17","  240","  230","21.0","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-16","8.28",,"0.00","0.0","3.9","28","34","23","  140","  140","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-17","15.43",,"0.00","0.0","3.9","34","42","26","  210","  220","28.0","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-18","10.51",,"0.00","0.0","0.0","37","40","27","  300","  240","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-19","5.37",,"0.00","0.0","0.0","32","41","25","  100","  100","12.1","13.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-20","7.38",,"0.00","0.0","0.0","34","36","29","   40","   50","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-21","7.61",,"0.01","0.1","0.0","31","33","29","   20","   40","14.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-22","6.93",,"0.00","0.0","0.0","30","31","28","  260","  230","15.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-23","11.41",,"0.00","0.0","0.0","30","31","29","  220","  260","17.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-24","8.05",,"0.00","0.0","0.0","33","43","29","  260","  260","18.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-25","14.54",,"0.08","0.6","0.0","31","34","24","   40","   50","25.9","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-26","5.59",,"0.07","1.0","0.0","23","26","15","   60","   60","13.0","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-27","6.04",,"0.00","0.0","1.2","27","32","20","   40","   40","13.0","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-28","10.96",,"0.01","0.0","1.2","26","34","19","  170","  160","19.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-29","13.87",,"0.01","0.1","1.2","33","35","28","  320","  330","25.9","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-30","7.38",,"0.00","0.0","1.2","27","30","18","  350","   10","19.9","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-01-31","6.93",,"0.12","1.3","0.0","27","36","19","  250","  250","16.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-01","18.34",,"0.87","16.2","3.9","29","31","19","   40","   40","30.0","38.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-02","12.75",,"0.05","1.8","18.1","15","19","6","  350","  350","23.9","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-03","5.37",,"0.09","1.6","16.9","13","26","2","  220","  210","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-04","10.51",,"0.02","0.3","16.1","21","25","4","  340","  340","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-05","8.95",,"0.00","0.0","15.0","7","15","-2","  240","  240","19.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-06","8.50",,"0.00","0.0","14.2","17","31","13","  250","  230","18.1","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-07","7.61",,"0.00","0.0","14.2","29","41","18","  200","  230","16.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-08","9.84",,"0.01","0.0","9.1","36","39","25","   10","   10","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-09","12.30",,"0.00","0.0","5.9","26","27","19","   10","   10","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-10","7.83",,"0.00","0.0","5.9","25","33","14","  160","  150","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-11","13.42",,"0.00","0.0","5.9","31","35","18","  310","  290","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-12","12.97",,"0.00","0.0","5.9","16","18","8","  340","  350","28.0","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-13","10.51",,"0.00","0.0","5.1","11","26","5","  220","  220","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-14","19.46",,"0.00","0.2","5.1","19","27","1","  330","  340","38.0","48.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-15","9.17",,"0.03","0.2","5.1","4","15","-3","  330","  340","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-16","4.92",,"0.00","0.0","5.1","12","18","5","  280","  280","12.1","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-17","12.30",,"0.00","0.1","5.1","17","19","8","  290","  290","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-18","15.21",,"0.00","0.0","5.1","7","8","-3","  290","  290","25.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-19","11.41",,"0.00","0.0","5.1","-2","4","-8","  330","  310","23.0","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-20","13.20",,"0.01","0.2","5.1","3","18","-7","  170","  180","23.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-21","4.25",,"0.00","0.0","5.1","22","32","17","  200","  210","12.1","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-22","13.20",,"0.00","0.0","5.1","21","28","2","  330","  330","21.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-23","9.84",,"0.00","0.0","5.1","4","12","-4","  350","  340","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-24","15.88",,"0.01","0.1","5.1","11","29","4","  240","  240","25.9","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-25","7.83",,"0.17","2.0","5.1","21","26","10","   20","  330","15.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-26","12.53",,"0.17","3.7","9.8","17","19","0","   40","   20","19.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-27","8.28",,"0.00","0.0","9.8","6","14","-2","  260","  240","14.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-28","5.37",,"0.02","0.4","9.1","6","21","-10","  180","  180","13.0","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-01","6.93",,"0.00","0.0","9.1","18","25","10","  250","  290","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-02","7.38",,"0.00","0.0","7.9","21","33","13","  190","  280","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-03","13.42",,"0.13","0.7","9.1","28","34","24","  190","  280","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-04","13.42",,"0.00","0.0","7.9","24","31","10","  330","  300","23.0","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-05","9.62",,"0.00","0.0","7.1","12","16","3","  280","  310","16.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-06","13.20",,"0.00","0.0","7.1","12","27","0","  180","  200","23.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-07","10.51",,"0.00","0.0","7.1","32","44","24","  280","  280","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-08","6.71",,"0.00","0.0","3.9","35","40","28","  250","  250","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-09","6.26",,"0.00","0.0","3.9","37","50","25","  180","  200","14.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-10","6.71",,"0.00","0.0","0.0","40","51","35","  220","  200","14.1","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-11","6.26",,"0.00","0.0","0.0","42","51","30","   60","   60","16.1","19.0"
