"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-01","4.92",,"0.00","0.0","0.0","27","40","17","  190","  190","13.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-02","6.26",,"0.11","0.0","0.0","34","40","25","   70","   70","15.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-03","10.07",,"0.00","0.0","0.0","38","39","19","  290","  270","23.0","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-04","17.00",,"0.00","0.0","0.0","18","19","7","  280","  280","25.1","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-05","12.75",,"0.00","0.0","0.0","9","13","3","  270","  270","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-06","10.07",,"0.00","0.0","0.0","4","9","0","  260","  260","16.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-07","10.74",,"0.00","0.0","0.0","6","18","0","  330","  330","21.9","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-08","9.62",,"0.00","0.0","0.0","9","19","2","  200","  190","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-09","12.97",,"0.02","0.2","0.0","22","33","19","  190","  200","21.9","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-10","23.26",,"0.20","0.0","0.0","38","51","25","  260","  260","40.0","55.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-11","12.08",,"0.33","0.0","0.0","32","43","25","   10","   10","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-12","11.18",,"0.05","0.2","0.0","26","28","19","   20","  350","17.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-13","8.95",,"0.00","0.0","0.0","20","27","16","   20","  340","15.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-14","4.70",,"0.00","0.0","0.0","29","35","21","  330","  320","8.9","11.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-15","2.24",,"0.00","0.0","0.0","26","36","20","  200","  200","6.9","8.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-16","5.82",,"0.90","0.0","0.0","33","37","30","  100","  100","12.1","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-17","9.62",,"0.48","0.0","0.0","37","39","35","  280","  280","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-18","9.62",,"0.00","0.0","0.0","35","36","30","  240","  210","16.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-19","6.71",,"0.46","0.0","0.0","36","42","30","   80","   80","12.1","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-20","5.82",,"0.18","0.0","0.0","39","43","38","   60","   50","13.0","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-21","8.50",,"0.00","0.0","0.0","48","59","40","  190","  240","19.9","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-22","5.37",,"0.01","0.0","0.0","43","46","38","   10","  360","14.1","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-23","9.40",,"0.00","0.0","0.0","39","42","36","  350","   10","16.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-24","7.16",,"0.00","0.0","0.0","37","38","34","  100","   80","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-25","11.41",,"0.09","0.0","0.0","37","42","34","  260","  260","21.9","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-26","13.42",,"0.00","0.0","0.0","33","34","30","  310","  300","21.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-01-27","14.76",,"0.00","0.0","0.0","28","31","24","  270","  250","21.9","30.0"
